start	end	text
251440	256400	resize the timeline slightly so that I can see my clips clearly. And then from the VO bin,
256440	263440	I'm going to double click the first of our voiceover tracks, HF VO1. I'll go back to the
263440	271960	beginning of this clip and have a listen to it. In the age of airplanes, we've become explorers once
271960	278960	again. I'm going to use the top waveform here just to navigate back to the beginning of that
278960	284320	piece of voice and set the in point where I can clearly see the voiceover starts. And again,
284400	290440	I'm going to do the same by adding an out point at the end of that. Now, because I want this to
290440	295840	go on to audio track two, I need to change the targeting from the source to the track in the
295840	304280	timeline. Here, I simply click on the audio two box in order to switch the targeting from audio
304280	310360	one to audio two. Any clips that I now edit into this timeline will automatically appear on that
310400	317600	audio track. For this, all I now need to do is just do a simple overwrite edit. As before,
317600	322720	you can just simply pick the clip up, drag it across to the timeline viewer. Or alternatively,
322720	329440	you can use the overwrite button at the top of the timeline or use your keyboard shortcut, F10.
329440	336840	And as you can see, it's already now color coded teal because that was the color coding that we
336840	343000	set for that track. The next piece of voiceover actually needs to come after the last bit of sync
343000	349120	on a one. So I'm going to position my playhead just after that, select voice over to from the
349120	355560	voice over bin. And I'm just going to have a listen to this. For the moment, leave behind
355560	365440	everything you know about airplanes. Anything you've heard about their history. Every conclusion
365680	372640	you've drawn from your own experience and prepare to see them again for the first time.
374080	379600	Now that clip was actually quite long. And because we're making a trailer, rather than the whole
379600	386320	film, we obviously only need to use a small part of that voiceover. So in this case, we go back to
386320	392720	the first piece of waveform, and we don't need the first line. For the moment, we need to start here
392800	398400	just after he says for the moment. So I'm going to add an in point, leave behind everything you
398400	405280	know about airplanes, and an out point after that line of dialogue. And now I can make an
405280	410480	overwrite edit into that part of the timeline. Now we need to come to the end of the piece of
410480	415440	voiceover and select in and out points around the last two pieces of waveform.
416160	425440	And prepare to see them again for the first time. Out point there and again make an overwrite edit.
426240	430720	Now as you can see, sitting with those clips in the timeline as they currently are,
430720	435440	they're a little bit long. So we might just need to refine where those clips are actually sitting
435440	441040	in terms of the position on the timeline. So here I'm just going to navigate my playhead
441040	447200	over those clips and use the detail zoom. Now the detail zoom in this case is actually taking
447200	453200	me way too close. I can't really see how these clips are actually sitting on the timeline with
453200	457200	regards to the rest of the timeline. So I just need to zoom out a little. So I'm going to hold
457200	461920	down command and use the minus button just once or twice just to be able to come out a little bit.
462720	466960	Now the first thing I'm going to do is just move the clips back and I'm actually going to move this
467040	471040	interview clip back here just so it's a little bit tighter with the first
471040	474320	section of clips. That just gives me a little bit more room to play with.
474320	478880	Now I can just select those clips, just move them back a touch as well. Now you notice
478880	484560	snapping is happening there. You can see how it's snapping to the end of the previous video clip.
484560	489600	I'm just going to disable that by pressing N on the keyboard. You can see it's just disabled that
489600	497440	briefly just to bring that back and again I still want to actually contract time a little bit more.
497440	503520	So all I'm going to do here is move the playhead just before Harrison's last piece of voice over
503520	509840	there and then use command or control B to split that clip. Now I can just simply pick that clip
509840	515760	up and again with the snapping off just tighten it up a little bit just so that I've lost a little
515840	521680	bit of the time between those two pieces of voice over. So that's got the voice over into the timeline
521680	525760	at least. There's a few more things that we need to do to this but for the moment we're going to
525760	529600	move on and we're going to put some sound effects in and continue the editing portion.
530800	535440	Let's go back to full extent zoom and move the playhead over the second clip in the timeline.
536400	542320	So let's go to the sound effects and you'll see that there is a sound effect here called jet taxi.
543280	548880	Double click back to open into the source. Now the idea here is that we actually want to
548880	554320	edit this sound effect to just the portion of the timeline that we're working in. So for this
554320	559280	we're going to add in and out points directly to the timeline. A quick way of being able to
559280	564240	do this is make sure your timeline is the active window and press X on the keyboard.
564880	570240	X will mark the clip. Marking a clip will actually put in an out point around the clip
570240	574800	at the very start and very end frame of the clip. So it's a quick way of being able to make sure
574800	581120	that you're editing one clip to the duration of an existing clip. We also need to make sure that
581120	585600	this audio is ending up on the right track. So in this case we're going to make sure that the
585600	593440	targeting changes from audio to the voice over track to audio three. And now we're going to
593440	599600	perform an overwrite edit. And you may be wondering why we didn't set an in point in the source viewer.
599600	604480	The reason why we didn't is because if you don't set an in or an out point it will always take
604480	610000	the full duration of the clip. So in this case the in point is actually the implied in point
610000	615840	at the very beginning of the clip. Moving forward let's move the playhead over the shot of the
615840	625760	south pole clip. Again let's press X to mark that clip. Choose the SFX prop audio.
626160	632960	Double click that to open it up into the source. And this time we will actually set an in point.
632960	638000	We don't need an out point because we've already got an out point directly on the timeline. However,
638000	642160	by setting an in point it means that we're not going to use the very first part of the clip. And
642160	646800	you always want to leave a little bit of footage before and after the in and the out points just
646800	651440	to give you a little bit of wiggle room on the timeline. So I'm just going to mark a portion
652240	658480	of the wave where it looks you know a reasonable amount and maybe here towards the middle of the
658480	663520	wave. So I'm going to set an in point there and again make an overwrite edit directly onto the
663520	668880	timeline. Because the playhead has moved to the end of the clip I've just edited into the timeline.
668880	673040	You'll see it's actually on the first frame of the next shot, the Alaska shot. So alls I now
673040	680240	need to do is press X to mark that clip. And now I can actually go to the sound effects for distant
680240	686400	prop. Double click that to open it up into the source and again use the waveform so that you're
686400	690720	not using the beginning part of this waveform here. It's somewhere around about the middle.
691440	696800	Mark an in point and now we need to choose the track that we actually want this clip to appear on.
697360	701440	And in this case we actually need to have it edited onto A4.
702000	712080	And again overwrite edit. Mark the next clip, switch the audio targeting back to A3.
713600	718880	And in this case we're going to use sound effect for light wind. Double click that,
718880	724720	choose a portion of whichever part of the sound effect that you want and edit that into A3.
726480	730880	Understanding how you're using these editing functions is very useful to ensure that you get
730880	736480	the audio to sit at the right point on the timeline so that it's accompanying the right
736480	742080	piece of video. Move your play head back to the third clip. This is the shot of the jet taking
742080	751280	off. Press X to mark that clip. Change the track targeting to A4. And find the clip called SFX
752080	759360	jet takeoff. Double click that to open it into the source. Now at the moment what we've been doing
759360	764720	is in all of the source clips we've been adding in points to the start of the clip where we want
764720	770240	the sound effect to start. But what we can also do is what we call a back timed edit which is
770240	778000	very useful when you know where you want a clip to end. Set an out point towards the tail end of
778000	786400	this fade out of this jet sound. And now when I perform the standard overwrite edit it will
786400	791520	actually back time the sound effect into the timeline. So now it'll sound as though the plane
791520	798720	is actually leaving shot. We can actually do something similar with the final shot. Move the
798720	805520	play head to the last shot in this sequence. Press X in order to mark the clip. And because we
805520	811280	pretty much leave this shot as the plane is directly overhead it actually makes sense to take a slightly
811280	818000	earlier part of the out point for the clip. So I'm going to set an out point just as the
818000	825760	audio starts to fade away. And again making sure I'm editing onto audio 4 and make an overwrite edit.
827600	832480	Now from the previous video you'll also remember that we not only had overwrite edits but we had
832480	837360	other sorts of edits as well. One of those edits that we explored was the replace edit.
837360	841360	And you can actually use the replace edit to good effect here in the timeline
841360	846560	in order to be able to synchronize sound and picture together. Move your play head to the
846560	850880	fourth clip in the timeline which is the shot of the water plane coming overhead in the Maldives.
851760	857520	Find the point on your timeline where the plane is just probably about halfway in shot.
859360	865920	In the sound effects bin find the sound effect called SFX overhead. Double click to open that
865920	871200	in the source viewer. Now you can see from this waveform here because we have this very sort of
871200	877120	high spike in the waveform where the plane is at its closest. What we're going to do is we're
877120	882880	going to use that as a reference point for this point in the timeline where the plane is directly
882880	891040	overhead. So make sure in the source viewer you actually position the play head as close to the
891120	898240	center of that waveform as possible. Let's target audio 3 for this. Then simply make a replace edit
898240	901760	in whichever way you want. In this case I'm going to click the replace button.
904160	909280	And you can see that the clip is actually timed so that the height of the waveform actually is
909280	915360	now synchronized with the actual plane passing overhead. In order to appreciate this I'm just
915360	922480	going to simply mute the music track by pressing the M mute button and then use the forward slash
922480	933840	key in order to be able to preview that part of the timeline. So now that we've got the audio in
933840	939840	the timeline it's time to start to think about the audio mix for this trailer. So the first thing
939840	945120	that we want to do is actually to sort out the dialogue tracks. So in this case I'm not interested
945120	950320	in the sound effects or the music tracks just for the moment so I'm just going to mute all of the
950320	957760	tracks that I'm not interested in. And now I can turn my attention directly to the dialogue and
957760	963440	arguably the dialogue is usually the most important piece of audio within your timeline because unless
963440	968720	we can actually hear and understand what's being said there's really no point in is actually listening.
969360	975520	In order to monitor the audio in the timeline the best thing to bring up is the audio mixer.
976240	980080	From the top right hand corner of the interface just click the mixer button
980080	984320	to bring up the mixer in the timeline. You can then open the mixer out
985120	990400	in order to be able to reveal all of the controls for each of the tracks. If you're working on a
990400	995760	laptop or a display that's actually quite small you may want to hide the media pool just to give
995840	1001600	you a little bit more room in order to be able to work. So in the top left hand corner click the
1001600	1007760	media pool button to hide the media pool. Now to begin with we just need to look at the levels
1007760	1013440	and also the audio channels being used in the timeline. From the beginning of the timeline
1013440	1018240	I'm just going to play the first part of this interview. In this film making a documentary
1018240	1023200	about how the airplanes change the world. As a quick rule of thumb for dialogue you generally
1023200	1028640	want your audio levels to be around about that yellow area on the meters so that's something to
1028640	1036880	aim for. Also you noticed as I play this back that there's actually two audio channels in this
1036880	1043920	clip. It was really important to go out and shoot the real world. This indicates that this clip
1043920	1050400	is stereo and it's actually sitting within a stereo track. For most dialogue clips and that's
1050480	1055280	pretty much anything that's shot on a camera you will probably want to work with mono audio.
1056800	1061040	In actual fact let's play the Harrison Ford clip and let's see the difference here.
1062160	1069520	In the age of airplanes we've become explorers once again. Well first of all you'll see that the
1069520	1075680	Harrison Ford clip is nicely sat within that yellow area of the meters. However it's what we call one
1075680	1082080	legged. It's coming out of only one channel of our output. Well we don't want that for Harrison
1082080	1088880	Ford and the reason for that is that we want to actually have this as mono audio which is a single
1088880	1094560	audio channel actually sitting within a mono track in the timeline. So that's the other
1094560	1100400	general rule. If you've got dialogue in the timeline ideally it should be mono and ideally
1100400	1106400	it should be sat on a mono track and thankfully Resolve enables me to change the track type
1106400	1111520	very easily and without too much fuss. So there's no problem if you get things slightly wrong or
1111520	1117280	confused because you can always put it right a little bit later on in the process. All I'm going
1117280	1125520	to do is right click on the VO audio track header and choose change track type to mono
1126240	1133440	and you'll see the little 2.0 indicator has now changed to a 1.0 indicator which indicates now
1133440	1142240	that this is a mono track. Playing Harrison Ford's voice over back here in the age of airplanes
1142240	1149040	now shows me I've got a mono track with mono audio in it and it's now playing out of both
1150000	1156240	audio channels from this timeline. We can also do the same sort of thing with the interview
1156240	1164400	audio as well. So I can now right click the sync audio track header choose change track type to mono
1167600	1171760	and now when I play that in this film making a documentary about how the airplanes changed the
1171760	1178560	world it was really important to go out and shoot the real world. I've now got mono audio
1179120	1184160	now Resolve hasn't done anything too clever here all's it's just done is simply take the first
1184160	1189600	audio channel from the clip in the timeline so that clip is still stereo if I was to move it
1189600	1195440	into a stereo track I would still get the stereo audio but because it's playing in a mono track
1195440	1199920	only the first audio channel is being used and in this case that's what I want to use.
1200560	1205120	If you do need to change the audio channel configuration of a clip though you can always
1205120	1213920	right click it in the timeline and choose clip attributes and in the audio tab you can actually
1213920	1220320	change the format so in this case we can actually switch from stereo to mono and then choose the
1220320	1227200	embedded audio channel that we want for that mono clip. Now that I've got my audio channel sorted
1227200	1233920	out I can actually now start thinking about the levels that need to be set and it depends where
1233920	1240000	you need to deliver your audio to as to what levels that you should be aiming for however as a good
1240000	1246560	rule of thumb around about the sort of the minus 12 dbfs on the main output meter is probably something
1246560	1252960	good to aim for you can also listen to the audio as well just make sure you're happy with the mix
1252960	1257520	the main thing is can you hear the different elements and does one element making sure that
1257520	1261920	one element does not swamp another I'm going to go back to the beginning of the timeline
1261920	1266640	and I'm just going to play Brian's interview so I'm just going to play the audio on the sync track
1267360	1270960	in this film making a documentary about how the airplanes change the world
1270960	1277680	it was really important to go out and shoot the real world now the problem with that is there are
1277680	1282320	parts of that audio clip that are actually quite loud and there are parts that are a little bit
1282320	1288080	quiet and really what I want to do is I kind of want to balance the audio so that it is roughly
1288080	1294720	the same level throughout the one thing that I want to avoid is my audience having to constantly
1294720	1299280	raise or lower their volume control for their speakers or their headphones as they're watching
1299280	1305680	this video I need to present everything at a consistent level let's just zoom in on this clip
1305680	1310400	just to have a look so I'm going to click the detail zoom button and I'm also going to make
1310400	1316720	the audio track height a little bit bigger and now having seen the waveform you can actually see
1316720	1321440	where there are certain loud spikes in the waveform and where everything starts to get a little bit
1321440	1327440	quiet what we can do is we can actually start to balance out this so the t starts off at one level
1327440	1333120	and continues at roughly the same level in order to be able to do this we need to add key frames
1333120	1338240	to the volume curve an easy and quick way to be able to add key frames is actually to hold down
1338240	1344240	the option or alt key when you click on the volume curve in the timeline so here I'm just going to
1344240	1349120	hold down the option key when I click on this part of the timeline just after this first
1349120	1355680	spike in the waveform here I'm going to add a second key frame by holding down option again
1355680	1363200	and clicking once again on the volume curve this now means that I can raise this part of the curve
1363200	1369680	so that it's roughly in line with this first peak of the audio here if I go back to the beginning
1369680	1374400	and preview this in this film making a documentary about how the airplanes changed the world
1374400	1381360	it was really important to go out and shoot the real world as you can see the audio is now more
1381360	1387200	consistent along the duration of the clip however it's probably a little bit too hot now the main
1387200	1391920	thing I'm interested in is making sure that all of the clips at this point on the same audio track
1391920	1397600	are balanced to be roughly around the same level they don't have to be the right level they just
1397600	1404080	have to be consistent and one way we can do that is we can normalize the audio what this will do
1404080	1411040	is it will actually calculate a change in the audio curve based on the peak level of the clips
1411840	1418320	see how we can do that I'm just going to select these audio clips right click and choose normalize
1418320	1423840	audio levels there are a number of different normalization modes to choose from but sample
1423840	1430560	peak program is probably the simplest one to use the minus nine dbfs level is a good starting
1430560	1437040	point for this again this will actually normalize the peak levels so by having it set to minus nine
1437040	1443360	is the upper part of that uh that yellow area on the meters and we also want to make sure that we
1443360	1450640	set this to be independent so that it will treat each clip on its own now we can choose to normalize
1450640	1454320	in order to be able to normalize the clips to roughly the same level
1457360	1461520	if I just play this clip here if we couldn't get the shot or the weather wasn't
1461520	1466320	right we would either go back to that location or it didn't make the movie it was really important
1466320	1472160	every shot was original and that everything was real so each of those clips is now roughly the
1472160	1478000	same level in order to bring the first clip into line as well what we can do is we can just preview
1478000	1483200	that and if we need to we can actually just nudge the audio up or down so selecting that clip
1483760	1488000	and playing through in this film making a documentary about how the airplanes changed the
1488000	1494400	world option command minus just to be able to nudge that down one db at a time in the age of
1496400	1500000	in this film making a documentary about how the airplanes changed the world
1500000	1506000	it was really important to go out and shoot the real world and that's brought it more in line with
1506000	1510320	the rest of the audio on that track now the next thing I want to do is to do pretty much the same
1510320	1516240	thing but with the audio from the voiceover however because this was recorded in a studio it's much
1516240	1522080	more consistent than something that was recorded on location in an interview situation so what I'm
1522080	1527600	just going to do here is actually just adjust the clips as appropriate so I'm going to select the
1527600	1534240	first clip play it through in the age of airplanes we've become explorers once again so what I've
1534240	1539360	just done is just adjusted that clip not by very much just by a couple of db just to increase the
1539360	1544480	level slightly to keep it consistent with the rest of the audio in the speech for the dialogue
1545360	1553200	leave behind everything you know about airplanes and prepare to see them again for the first time
1554160	1559840	and I'll probably just lower that that end clip there a db and then maybe just bring this first
1559840	1569280	clip up single db leave behind everything you know about airplanes and prepare to see them again
1570000	1575840	for the first time so that now means that the dialogue has been balanced I can now turn my
1575840	1581280	attention to some of these sound effects start to integrate them into the trailer first of all
1581280	1585760	I'm just going to make the timeline track heights a little bit shorter just so that I can concentrate
1585840	1592400	on each of these clips now the first thing I'm going to do is I'm going to unmute audio tracks
1592400	1598240	three and four but I am going to mute the dialogue tracks so that's audio track one and audio track
1598240	1605040	two again the idea here is to be consistent don't worry if the sounds are too high or too low just
1605040	1620960	to make sure they're roughly the same level so I'm going to play these through
1635440	1647840	okay so first thing I'm going to do is just make sure I've got the levels
1647840	1654640	roughly the same so I'm actually going to increase this one here and this one here
1656160	1661600	this one here now it might seem slightly counter intuitive why would I be increasing
1661600	1666480	audio levels but again this is just to make sure that they're balanced across the different clips
1666480	1672480	and they're consistent because once I've done that I can now bring the levels down using the track
1672480	1687520	faders let's just go back to the beginning here just play this through
1691600	1707520	so
1708240	1720640	so I'll just need to just pull this level down a little bit just to keep it in line
1723040	1728880	so that's how easy it is to start mixing your audio you could have individual levels for each
1728880	1733280	of the clips nothing wrong with that but it just means that using the mixer and using the track
1733360	1738720	level sliders just makes mixing just that awful lot easier now the only other thing I'm going to do
1738720	1743760	with these sound effect clips is just create little fades between each clip this will just
1743760	1750400	help the transition from one audio clip to another let's go to detail zoom on the first clip
1751520	1755760	and what we can do first of all is we can actually just apply a little audio fade
1755760	1757760	at the beginning and end of each of these clips
1757760	1766160	it's a little fade like that and then I can trim the end of the clip out so that it overlaps
1766160	1772240	the underlying clip on the lower audio track so this will now cross fade those two clips together
1773200	1779440	I can also slip this clip just like I can do with a video in order to give me a little bit
1779440	1785120	more handle at the beginning here so that I can just lengthen that clip from the very beginning
1786000	1791040	just a tiny little overlap of the audio is always useful you want to be careful it's not too long
1791040	1796240	but it will just indicate there's a change of picture coming just anticipate that in the audience's
1796240	1802800	mind I'm going to continue scrolling through here and I'm going to continue adding little
1802800	1816640	audio fades on each of these clips an audio fade out there
1819840	1824320	once again I'm going to do the same technique as before with this South Pole audio
1824320	1826640	tiny little fade in at the beginning
1830480	1832800	just to anticipate the picture change there
1837280	1840640	and fade out there and I'll just bring the other one through the
1841280	1846160	subsequent shot bring that in finally just a couple more to do here
1846880	1852000	that little audio fades
1864880	1870080	and finally I'm just going to lengthen that last clip just so that it tails out
1870080	1872000	right underneath those titles there
1872480	1878080	so now when I just play that last bit
1888880	1891040	and the sound of the airplane dies away slightly
1891920	1896080	now you may be wondering why I haven't added audio transitions between those clips
1896080	1901280	now that's another way of being able to work however I often find that these audio fades
1901280	1905360	are much more accurate than the audio transitions that you might be using
1906160	1910720	the last element of this audio mix that I need to bring in is of course the music
1911440	1916160	and very similar to working with the sound effects I can actually use the track slider
1916160	1921600	in order to be able to adjust the music level so first of all I'm going to unmute all the tracks
1921600	1928480	in the timeline go back to the beginning of my edit and I'm just going to play through
1928480	1930640	and have a listen to where the music level should be
1958480	1960720	every shot was original and that everything was real
1979520	1984480	now throughout that I was actually watching the audio meters but I was also listening
1984480	1988240	to the mix as it was coming through and you can see that what I can now do
1988560	1993120	is I can easily ride the levels so that if the sound effects are too loud
1993120	1997440	I can actually bring the sound effects on those tracks down with just one fader
1997440	2000960	so that's the advantage of using the audio mixer in this case
2001920	2005920	one thing I am going to do though is I'm actually going to increase the level
2005920	2009520	of the music after Harrison Ford has finished his final line
2009520	2012880	so in this case I'm just going to add a couple of audio keyframes
2013760	2017120	on the volume curve and just adjust that
2017920	2020320	up by a couple of dB from where it was before
2020880	2025680	so I can always go back into the timeline and start making further level adjustments
2025680	2028160	if I need to at an individual clip level
2030560	2031520	for the first time
2032400	2044640	so that's the audio mix done for this timeline however we're not quite there yet
2044640	2048240	we need a few little visual flourishes before we can say that this
2048240	2051760	is a wrap and in this case we're going to add a few transitions
2051760	2057200	just to indicate a change of location and we're also going to add some fusion titles
2057200	2059520	from the built-in templates that resolve ships with
2060480	2066080	so to start with let's just simply adjust the height of each of these tracks
2066080	2069120	just to give me a little bit more space in terms of the visuals
2070720	2073760	and the first thing we want to do is actually add some video transitions
2074320	2077760	now I was always taught when I was learning video editing
2077760	2083760	that you should use transitions sparingly and usually to indicate a change of time or location
2085120	2088320	so here I've got an edit point between two shots
2090400	2095920	I can select the edit point here
2096560	2101200	and then come to the menu and choose timeline add transition
2103280	2107520	and this will add a default one second cross dissolve transition
2107520	2109920	let's just preview that with the forward slash key again
2115040	2119200	and that simple fade usually indicates to the audience that some changes there
2119680	2122240	usually a change of time or a change of location
2123200	2126320	let's just zoom in on that transition a little bit as well
2126320	2129600	because you can also change any of these transitions
2129600	2133520	of course you can change the duration of the transition by clicking on it and dragging it
2134080	2139440	at the side there but if you right click on the transition
2141280	2146640	you can also change the transition duration by typing in values and you can see that we've
2146720	2150720	got presets there as well very similar to how we changed the duration of clips
2152160	2156400	alternatively you can also change the style of the transition through the inspector
2157520	2161520	so let's come up to the top right hand corner of the interface click on the inspector button
2162320	2165760	and we also see that we're in the transition inspector
2166720	2169440	here we've got the transition type which is cross dissolve
2170080	2173120	but we can also choose from lots of different sorts of types
2173680	2175760	of transition let's choose edge wipe
2176720	2180880	because I've got the playhead over the center of the transition you can now see that if I change
2180880	2186320	the angle of the wipe you can see how it actually changes the direction of the wipe
2186960	2189760	let's set that to around about minus 80
2191120	2196960	let's increase the border and you can change the border color using the color swatch in the
2196960	2201040	inspector however there is also the option to feather the border
2201680	2205440	so if we click on that we've now got a nice soft edge border
2206880	2210000	if I hit the forward slash key to preview the timeline
2214880	2217200	I can now channel my inner George Lucas
2217920	2223280	of course resolve comes with a whole bunch of transition presets for you to use
2223280	2227600	if you go to the effects library and choose video transitions
2227600	2230960	you can see that you've got all manner of different transitions to choose from
2231600	2236240	and if you actually take your mouse and just run them across the transition
2236320	2239760	you can actually live preview each of those transitions
2239760	2243040	so you get a sense as to how each of those transitions works
2244560	2248880	the final element that we're going to add to this edit is actually some titles
2248880	2252000	we need to know for example who the interviewee is
2252000	2257040	but we're also going to add some titles for each of the geographic locations that the film visits
2257040	2257920	when it was filming
2259360	2264320	just like with transitions you can actually live preview each of these by running your mouse across
2264320	2273760	them and with the fusion titles you'll actually get to see the different animations that we have
2273760	2277360	so you can choose whether or not a title is appropriate for your edit
2277360	2279440	even before you apply it to your timeline
2280720	2284880	in this case I want to scroll through the list and I'm looking for a title
2284880	2287360	called simple underline lower third
2287360	2300160	I'm going to take that title and I'm going to move up to my timeline viewer overlays
2300160	2302880	and then I'm going to choose the place on top edit
2304400	2307360	and surprisingly this time because I'm dealing with video
2307360	2311920	resolve actually places the title on top of the video where my playhead is
2312160	2317920	I'll hide the effects library just to give myself a little bit more room
2317920	2319440	and go into my detail zoom
2321200	2325600	zoom out touch there and I just want to trim the title to the end of the clip
2326160	2330960	to adjust the title all you'll simply do is just go directly to the inspector
2331680	2334960	so here in the text box I'm going to highlight the sample text
2334960	2338960	and I'm going to give my interviewee his name which in this case is Brian J. Tawiliga
2339600	2347200	and you can also customize the font as well if you click in the font menu here you can actually
2347200	2352960	scroll through the list of fonts that you have installed on your system and get a live preview
2352960	2357600	of what each font may look like in this case I'm actually just going to leave everything
2357600	2365920	set to open sans however I can customize the text further using the lower controls including the size
2369120	2372480	and also the tracking which is the spacing between the letters
2373120	2376960	just by bringing the letters a little closer together makes them easier to read I feel
2379280	2384880	below that we've also got controls for the line as well that's that blue line underneath the text
2385840	2391040	of course I can increase or decrease the line thickness depending on the style that I'm looking
2391040	2396320	for and I can also change the line color in this case I'm actually going to increase the red
2397040	2403040	color channel and the green color channel and actually just lower the blue color channel
2403040	2410240	just to change the color of the line to yellow in actual fact you can also customize the gradient
2410240	2418560	across the line let's change the type from solid color to horizontal and now I get a second color
2418560	2424720	box which I'm actually going to customize by just making it a little bit more of an orange color
2427120	2432320	now that I've got my first title in I can actually use this as a basis for the rest of the titles
2432320	2437440	throughout the trailer and all's I'm just going to do is just copy and paste the title into
2437440	2444480	different locations let's go to full extent zoom and select the title and then I can actually
2444480	2451360	choose to copy the title just as I would do anything else so command or control c is a keyboard
2451360	2458480	shortcut that you'll probably be familiar with now I'm going to find the Maldives shot here
2460320	2468800	and I'm going to choose to paste so edit paste command or control v and resolve will actually
2468800	2474400	paste directly to the track from which I've copied from let me just trim that back to the end of that
2474400	2488240	shot and then change the title here to Maldives I'm going to copy that title
2491040	2493840	paste over the next clip which is the south pole shot
2494480	2503600	this clip is Alaska
2511760	2514080	and then of course Kenya
2523840	2527280	really important every shot was original and then everything was real
2528080	2534160	leave behind everything you know about airplanes and prepare to see them again
2535600	2539520	just going to trim that back a little bit because it was just overlapping the transition a little
2539520	2545760	bit and prepare to see them again don't worry if you can't play these titles back in real time
2545760	2551760	immediately depending on the power of your system resolve may need to cache the files
2551840	2557040	prior to being able to play them back at full quality in which case just let resolve
2557040	2562880	have a few seconds and resolve will automatically cache the files for you you'll notice when a
2562880	2569040	file is cached because the red line above the title will turn blue to indicate a cache file
2569760	2575360	you should now be able to play your title back in real time now that I've got this edit ready to go
2575360	2579360	what I want to do is to be able to play it back for the client at full screen
2579920	2582960	if I just return the playhead back to the beginning of the timeline
2585520	2589680	from the workspace menu we can choose viewer mode cinema viewer
2591200	2597360	this will give me a full screen playback of my entire edit in this film making a documentary
2597360	2603120	about how the airplanes changed the world it was really important to go out and shoot in the world
2604080	2608400	in the age of airplanes we've become explorers once again
2609760	2611840	if it was possible to shoot it we wanted to go shoot
2614800	2618880	if we couldn't get the shot or the weather wasn't right we would either go back to that location
2618880	2624000	or it didn't make the movie it's really important every shot was original and everything was real
2624640	2638880	leave behind everything you know about airplanes and prepare to see them again for the first time
2642480	2646400	just simply press escape in order to be able to return back to the interface
2647440	2652960	I hope you found this tutorial useful if you've got any further questions about editing and resolve
2653040	2656400	please feel free to join us on the black magic design forums
2656400	2660880	and you can also familiarize yourself with the training materials that we have available
2660880	2666160	on the DaVinci Resolve product pages and all of those materials are available for free
2666880	2669760	thank you very much and happy editing
